FRAME_COUNT,ACCURACY,RUN_TIME(s),CPU Usage(GB),Total Memory(MB),Used Memory(MB),Free Memory(MB),Temperature(°C)
1,0.9632846,0.762139082,2.02,3938,595,2417,46.738
2,0.9632846,0.330806971,2.02,3938,598,2413,46.251
3,0.8860786,0.330850601,2.02,3938,600,2411,45.764
4,0.94606215,0.328444242,2.02,3938,601,2410,46.251
5,0.8978694,0.327612162,2.02,3938,601,2410,45.277
6,0.9477869,0.330506325,2.02,3938,601,2410,46.251
7,0.9465805,0.338296652,2.02,3938,603,2409,45.277
8,0.94167316,0.329236984,2.02,3938,602,2410,46.251
9,0.9371746,0.332883596,2.02,3938,601,2411,45.277
10,0.9729603,0.327264786,2.03,3938,601,2411,45.277
11,0.96479577,0.330395222,2.03,3938,602,2409,45.764
12,0.9872426,0.327711344,2.03,3938,601,2411,45.277
13,0.95886725,0.329426289,2.03,3938,601,2410,45.764
14,0.9589065,0.333326101,2.03,3938,601,2410,46.251
15,0.94689935,0.333069563,2.03,3938,602,2409,46.738
16,0.9695052,0.329959154,2.03,3938,601,2410,46.251
17,0.9713877,0.328384638,2.03,3938,601,2410,45.764
18,0.9727516,0.327778578,2.03,3938,602,2410,46.738
19,0.9734519,0.329690456,2.03,3938,602,2409,45.764
20,0.9746532,0.328300476,2.03,3938,602,2410,46.251
21,0.97563314,0.3313241,2.03,3938,602,2409,46.738
22,0.9735841,0.330467939,2.03,3938,602,2409,46.251
23,0.96694595,0.328491688,2.03,3938,603,2408,46.251
24,0.97112477,0.331984997,2.03,3938,601,2410,44.79
25,0.97525364,0.331894398,2.03,3938,601,2410,45.764
26,0.9725758,0.328055143,2.03,3938,601,2410,44.79
27,0.9792645,0.338494778,2.03,3938,600,2411,45.764
28,0.98566926,0.331547976,2.03,3938,601,2410,45.277
29,0.9733776,0.34104991,2.03,3938,603,2408,45.764
30,0.9770517,0.32980752,2.03,3938,603,2408,45.277
31,0.9760464,0.342018604,2.02,3938,601,2410,44.303
32,0.9730612,0.344967604,2.02,3938,602,2409,44.79
33,0.9806999,0.332921505,2.02,3938,603,2408,45.277
34,0.96290237,0.336402178,2.02,3938,603,2408,45.764
35,0.9673738,0.336310148,2.01,3938,601,2410,44.79
36,0.9788931,0.331685781,2.01,3938,603,2408,45.277
37,0.9787325,0.334338665,2.02,3938,602,2408,44.79
38,0.9786744,0.334260941,2.02,3938,603,2408,45.764
39,0.98701304,0.330441713,2.02,3938,601,2409,45.764
40,0.9778425,0.32984519,2.02,3938,601,2409,45.277
41,0.9808352,0.329066038,2.02,3938,602,2409,45.277
42,0.9830282,0.329956293,2.02,3938,602,2408,44.303
43,0.9816653,0.346232414,2.02,3938,600,2411,45.764
44,0.9791368,0.336362839,2.02,3938,601,2409,45.277
45,0.9841484,0.331537247,2.02,3938,602,2408,46.251
46,0.9645259,0.333558083,2.01,3938,601,2409,45.277
47,0.96792686,0.337338686,2.02,3938,601,2409,45.764
48,0.974819,0.339449167,2.02,3938,601,2409,45.764
49,0.9670999,0.330582857,2.02,3938,603,2408,45.277
50,0.95468915,0.334427595,2.02,3938,603,2408,45.277
51,0.95915407,0.332009077,2.02,3938,599,2411,45.764
52,0.93538046,0.32971549,2.02,3938,600,2410,46.251
53,0.95519525,0.330038071,2.02,3938,602,2408,45.764
54,0.9606377,0.332256556,2.02,3938,603,2407,46.251
55,0.96540594,0.342485428,2.02,3938,601,2410,46.251
56,0.9587976,0.334222317,2.02,3938,601,2409,46.251
Average,0.965453237,0.340386289,,,,,
